Month,Cost_Center,GL_Account,GL_Description,Debit,Credit,Balance,Profit_Center,Currency
Jan-2025,CC1001,400000,Revenue - Domestic,0,850000,850000,PC-SALES,INR
Jan-2025,CC1001,400100,Revenue - Export,0,320000,320000,PC-SALES,INR
Jan-2025,CC2001,500000,Raw Material Cost,420000,0,-420000,PC-MANUF,INR
Jan-2025,CC2001,510000,Wages & Salaries,180000,0,-180000,PC-MANUF,INR
Jan-2025,CC3001,600000,Admin Expenses,95000,0,-95000,PC-ADMIN,INR
Jan-2025,CC3001,610000,Depreciation,45000,0,-45000,PC-ADMIN,INR
Feb-2025,CC1001,400000,Revenue - Domestic,0,920000,920000,PC-SALES,INR
Feb-2025,CC1001,400100,Revenue - Export,0,280000,280000,PC-SALES,INR
Feb-2025,CC2001,500000,Raw Material Cost,450000,0,-450000,PC-MANUF,INR
Feb-2025,CC2001,510000,Wages & Salaries,180000,0,-180000,PC-MANUF,INR
Feb-2025,CC3001,600000,Admin Expenses,90000,0,-90000,PC-ADMIN,INR
Feb-2025,CC3001,610000,Depreciation,45000,0,-45000,PC-ADMIN,INR
Mar-2025,CC1001,400000,Revenue - Domestic,0,1050000,1050000,PC-SALES,INR
Mar-2025,CC1001,400100,Revenue - Export,0,410000,410000,PC-SALES,INR
Mar-2025,CC2001,500000,Raw Material Cost,510000,0,-510000,PC-MANUF,INR
Mar-2025,CC2001,510000,Wages & Salaries,185000,0,-185000,PC-MANUF,INR
Mar-2025,CC3001,600000,Admin Expenses,102000,0,-102000,PC-ADMIN,INR
Mar-2025,CC3001,610000,Depreciation,45000,0,-45000,PC-ADMIN,INR
Apr-2025,CC1001,400000,Revenue - Domestic,0,980000,980000,PC-SALES,INR
Apr-2025,CC1001,400100,Revenue - Export,0,350000,350000,PC-SALES,INR
Apr-2025,CC2001,500000,Raw Material Cost,490000,0,-490000,PC-MANUF,INR
Apr-2025,CC2001,510000,Wages & Salaries,180000,0,-180000,PC-MANUF,INR
Apr-2025,CC3001,600000,Admin Expenses,98000,0,-98000,PC-ADMIN,INR
Apr-2025,CC3001,610000,Depreciation,45000,0,-45000,PC-ADMIN,INR
May-2025,CC1001,400000,Revenue - Domestic,0,1100000,1100000,PC-SALES,INR
May-2025,CC1001,400100,Revenue - Export,0,420000,420000,PC-SALES,INR
May-2025,CC2001,500000,Raw Material Cost,530000,0,-530000,PC-MANUF,INR
May-2025,CC2001,510000,Wages & Salaries,188000,0,-188000,PC-MANUF,INR
May-2025,CC3001,600000,Admin Expenses,105000,0,-105000,PC-ADMIN,INR
May-2025,CC3001,610000,Depreciation,45000,0,-45000,PC-ADMIN,INR
Jun-2025,CC1001,400000,Revenue - Domestic,0,1200000,1200000,PC-SALES,INR
Jun-2025,CC1001,400100,Revenue - Export,0,480000,480000,PC-SALES,INR
Jun-2025,CC2001,500000,Raw Material Cost,580000,0,-580000,PC-MANUF,INR
Jun-2025,CC2001,510000,Wages & Salaries,190000,0,-190000,PC-MANUF,INR
Jun-2025,CC3001,600000,Admin Expenses,110000,0,-110000,PC-ADMIN,INR
Jun-2025,CC3001,610000,Depreciation,45000,0,-45000,PC-ADMIN,INR
